Time(s),X(m),Y(m),Z(m),Pitch(deg),Roll(deg),Yaw(deg)
17.61,95.19,-0.63,-6.86,-6.00,0.00,9.00
17.73,96.15,-1.06,-6.77,-6.00,0.00,12.00
17.83,97.30,-0.80,-6.65,-6.00,0.00,11.00
17.94,98.46,-0.61,-6.52,-6.00,0.00,7.00
18.05,99.33,-0.52,-6.43,-6.00,0.00,4.00
18.16,100.47,-0.47,-6.31,-6.00,0.00,0.00
18.27,101.57,-0.50,-6.20,-6.00,0.00,-4.00
18.38,102.76,-0.61,-6.07,-6.00,0.00,-8.00
18.49,103.64,-0.75,-5.98,-6.00,0.00,-10.00
18.59,105.05,0.23,-5.85,-6.00,0.00,-12.00
18.70,106.39,0.83,-5.73,-6.00,0.00,-16.00
18.81,107.28,0.58,-5.63,-6.00,0.00,-14.00
18.92,108.57,0.91,-5.50,-6.00,0.00,-10.00
19.03,109.86,1.29,-5.38,-6.00,0.00,-14.00
19.14,110.74,1.05,-5.28,-6.00,0.00,-17.00
19.25,111.04,0.96,-5.25,-6.00,0.00,-21.00
19.36,111.04,0.96,-5.25,-6.00,0.00,-24.00
19.47,111.04,0.96,-5.25,-6.00,0.00,-28.00
19.57,111.04,0.96,-5.25,-6.00,0.00,-31.00
19.68,111.04,0.96,-5.25,-4.00,0.00,-31.00
19.79,111.04,0.96,-5.25,-0.00,0.00,-31.00
19.90,111.04,0.96,-5.25,4.00,0.00,-31.00
20.01,111.54,0.69,-5.30,5.00,0.00,-27.00
20.12,112.54,0.21,-5.39,5.00,0.00,-25.00
20.23,112.78,0.73,-5.39,2.00,0.00,-25.00
20.34,113.14,1.52,-5.39,-1.00,0.00,-23.00
20.44,113.37,2.07,-5.39,-1.00,0.00,-19.00
20.55,113.37,2.07,-5.39,-1.00,0.00,-15.00
20.66,113.37,2.07,-5.39,-1.00,0.00,-12.00
20.77,113.37,2.07,-5.39,-1.00,0.00,-14.00
20.87,113.45,2.34,-5.39,-1.00,0.00,-18.00
20.98,113.85,3.46,-5.39,-1.00,0.00,-22.00
21.09,114.20,4.30,-5.39,-1.00,0.00,-25.00
21.20,114.75,5.40,-5.39,-1.00,0.00,-29.00
21.31,115.20,6.18,-5.39,-1.00,0.00,-32.00
21.42,115.20,6.18,-5.39,-1.00,0.00,-36.00
21.53,115.20,6.18,-5.39,-1.00,0.00,-40.00
21.63,114.82,5.76,-5.39,-1.00,0.00,-43.00
21.74,113.98,4.90,-5.39,-1.00,0.00,-47.00
21.85,113.10,4.12,-5.39,-1.00,0.00,-51.00
21.96,112.40,3.57,-5.39,-1.00,0.00,-52.00
22.07,112.18,3.40,-5.39,-0.00,0.00,-52.00
22.18,111.27,2.69,-5.39,4.00,0.00,-52.00
22.29,111.02,2.50,-5.39,7.00,0.00,-50.00
22.40,111.67,3.05,-5.39,7.00,0.00,-47.00
22.50,112.50,3.87,-5.39,7.00,0.00,-43.00
22.61,113.06,4.51,-5.39,7.00,0.00,-39.00
22.72,113.79,5.46,-5.39,7.00,0.00,-35.00
22.83,114.27,6.17,-5.39,7.00,0.00,-32.00
22.94,114.73,6.94,-5.39,7.00,0.00,-29.00
23.05,114.58,6.71,-5.39,7.00,0.00,-33.00
23.16,114.09,5.98,-5.39,7.00,0.00,-36.00
23.26,113.38,5.05,-5.39,7.00,0.00,-40.00
23.37,112.60,4.17,-5.39,7.00,0.00,-44.00
23.48,111.79,3.37,-5.39,7.00,0.00,-48.00
23.59,111.12,2.78,-5.39,6.00,0.00,-51.00
23.70,110.24,2.07,-5.39,2.00,0.00,-51.00
23.81,109.33,1.34,-5.39,-2.00,0.00,-51.00
23.92,108.43,0.61,-5.39,-6.00,0.00,-51.00
24.03,107.73,0.04,-5.39,-9.00,0.00,-51.00
24.14,106.83,-0.68,-5.39,-12.00,0.00,-53.00
24.25,105.89,-1.35,-5.39,-11.00,0.00,-57.00
24.35,105.17,-1.83,-5.39,-10.00,0.00,-55.00
